CONTENT ID	CONTENT TYPE	LIPID ID	SPECIES	EXPERIMENT ID	METHODS
206	lipid	Arachidonic acid (?-6)	Homo sapiens	242	HPLC
207	lipid	Pentafluorobenzyl ester derivative	Homo sapiens	242	Mass spectrometry 
208	lipid	Phosphatidylserine (PS)	Homo sapiens	261	Annexin V-FITC 
209	lipid	Amino phospholipids	Homo sapiens	272	Annexin V-FITC 
210	lipid	Phosphatidylserine (PS)	Homo sapiens	278	Annexin V-FITC 
211	lipid	Phosphatidylserine (PS)	Homo sapiens	250	Annexin V-FITC 
212	lipid	Phosphatidylserine (PS)	Homo sapiens	251	Annexin V-FITC 
213	lipid	Phosphatidylserine (PS)	Homo sapiens	262	Annexin V-FITC 
214	lipid	Phosphatidylserine (PS)	Homo sapiens	288	Annexin V-FITC 
215	lipid	Phosphatidylserine (PS)	Homo sapiens	289	Annexin V-FITC 
216	lipid	Phosphatidylserine (PS)	Homo sapiens	290	Annexin V-FITC 
217	lipid	Phosphatidylserine (PS)	Homo sapiens	240	Annexin V-FITC 
218	lipid	Phosphatidylserine (PS)	Homo sapiens	295	Annexin V-FITC 
219	lipid	Lysophosphatidylcholine	Homo sapiens	365	TLC
220	lipid	Sphingomyelin	Homo sapiens	365	TLC
221	lipid	Phosphatidylcholine	Homo sapiens	365	TLC
222	lipid	Lysophosphatidylserine	Homo sapiens	365	TLC
223	lipid	Lysophosphatidylethanolamine	Homo sapiens	365	TLC
224	lipid	Phosphatidylserine	Homo sapiens	365	TLC
225	lipid	Phosphatidylinositol	Homo sapiens	365	TLC
226	lipid	Phosphatidylethanolamine	Homo sapiens	365	TLC
227	lipid	Sphingomyelin	Homo sapiens	366	TLC
228	lipid	Sphingosine-1-phosphate	Homo sapiens	366	TLC
229	lipid	Fatty acid 6:0	Bacillus anthracis	417	GC
230	lipid	Fatty acid 8:0	Bacillus anthracis	417	GC
231	lipid	Fatty acid 10:0	Bacillus anthracis	417	GC
232	lipid	Fatty acid 11C:0	Bacillus anthracis	417	GC
233	lipid	Fatty acid 12:0*	Bacillus anthracis	417	GC
234	lipid	Fatty acid 13C:0*	Bacillus anthracis	417	GC
235	lipid	Fatty acid 14:0*	Bacillus anthracis	417	GC
236	lipid	Fatty acid 14:1(cis-9)*	Bacillus anthracis	417	GC
237	lipid	Fatty acid 15:0*	Bacillus anthracis	417	GC
238	lipid	Fatty acid 16:0*	Bacillus anthracis	417	GC
239	lipid	Fatty acid 16:1(cis-9)*	Bacillus anthracis	417	GC
